602,0.96,1.0,1.0,0.99,0.97,1.0,1.0,0.98,1.0,1.0,1.0,0.99,0.99,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.96,1.0,1.0,0.98,1.0,0.97,0.99,1.0,1.0,0.99,1.0,1.0,0.98,0.99,0.98,0.97,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99,1.0,0.98,0.99,0.98,0.99,1.0,1.0,0.98,0.99,1.0,1.0,1.0,0.99,1.0,0.96,0.99,1.0,1.0,0.99,0.97,0.97,1.0,1.0,0.98,0.98,1.0,1.0,1.0,0.98,0.99,0.97,0.99,0.99,0.99,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.98,0.95,0.97,0.99,0.98
490,1.0,1.0,0.97,0.98,0.96,0.96,0.98,0.99,1.0,1.0,0.99,0.98,0.97,0.97,0.97,0.99,0.95,0.99,0.99,0.98,0.99,0.95,0.99,1.0,0.96,0.98,0.98,1.0,0.99,0.95,1.0,0.99,0.99,0.99,1.0,0.98,1.0,0.96,0.96,1.0,1.0,0.97,1.0,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.99,0.98,0.93,0.98,0.96,0.99,1.0,1.0,0.99,0.97,0.97,0.99,0.98,0.97,0.99,0.99,1.0,0.98,0.95,0.97,0.97,1.0,0.98,0.99,0.98,0.99,0.98,0.99,0.99,0.98,0.99,0.99,0.99,1.0,0.99,0.98,0.98,1.0,0.96,0.99,0.97,0.98,0.98,0.97,0.99,1.0,0.99
807,0.98,0.97,0.99,1.0,0.96,0.95,0.96,0.97,0.98,0.96,0.93,0.98,0.96,0.95,0.97,0.99,0.98,0.98,0.93,0.96,0.97,0.96,0.97,0.99,0.98,0.98,0.95,0.97,0.98,0.96,0.97,0.97,0.98,0.96,0.96,0.99,0.99,1.0,0.94,0.96,0.98,1.0,0.97,0.99,0.99,0.99,0.95,0.95,0.94,0.98,0.99,0.96,0.95,0.99,0.97,0.99,0.99,0.97,0.95,0.98,0.97,0.97,0.99,0.96,0.98,0.97,0.97,0.99,0.96,1.0,0.97,0.99,0.97,0.98,0.95,0.98,0.96,0.99,0.98,0.95,0.98,0.97,0.95,0.99,0.98,0.98,0.98,0.98,0.98,0.98,1.0,0.95,0.98,0.97,0.99,0.99,0.94,0.99,0.98,0.95
754,0.9,0.85,0.83,0.82,0.86,0.9,0.82,0.82,0.88,0.8,0.89,0.89,0.83,0.87,0.85,0.88,0.9,0.79,0.79,0.89,0.91,0.86,0.87,0.81,0.88,0.86,0.81,0.86,0.9,0.85,0.87,0.88,0.91,0.86,0.93,0.83,0.88,0.93,0.87,0.85,0.86,0.86,0.9,0.87,0.89,0.87,0.82,0.86,0.84,0.84,0.88,0.83,0.9,0.89,0.88,0.86,0.93,0.92,0.86,0.86,0.87,0.87,0.81,0.87,0.84,0.89,0.87,0.87,0.81,0.86,0.89,0.88,0.89,0.87,0.89,0.78,0.88,0.78,0.83,0.9,0.85,0.9,0.88,0.87,0.78,0.87,0.83,0.85,0.92,0.91,0.89,0.86,0.85,0.87,0.85,0.91,0.85,0.79,0.86,0.86
158,0.77,0.84,0.82,0.84,0.88,0.84,0.87,0.79,0.82,0.83,0.83,0.82,0.84,0.85,0.87,0.87,0.8,0.87,0.82,0.82,0.79,0.84,0.85,0.85,0.86,0.81,0.83,0.86,0.85,0.83,0.81,0.84,0.82,0.86,0.82,0.81,0.78,0.86,0.78,0.83,0.9,0.86,0.82,0.8,0.81,0.9,0.81,0.85,0.81,0.84,0.85,0.78,0.83,0.9,0.84,0.84,0.88,0.84,0.83,0.83,0.81,0.89,0.84,0.79,0.85,0.83,0.84,0.83,0.92,0.88,0.82,0.82,0.85,0.83,0.91,0.83,0.82,0.82,0.83,0.81,0.88,0.84,0.84,0.83,0.78,0.83,0.88,0.78,0.89,0.75,0.83,0.84,0.87,0.87,0.77,0.84,0.83,0.85,0.81,0.81
512,0.98,0.96,0.95,0.96,0.97,1.0,0.97,0.97,0.98,0.96,0.96,0.99,0.95,0.97,1.0,0.99,0.96,0.97,0.97,0.97,0.95,0.97,1.0,0.98,0.98,0.98,0.98,0.96,0.98,0.95,1.0,0.97,0.98,0.95,0.94,0.96,1.0,0.97,0.95,0.96,0.97,0.98,0.96,0.93,0.94,0.95,0.99,0.97,0.96,0.98,0.94,0.99,0.95,0.95,0.98,0.99,0.96,0.98,0.97,0.99,1.0,0.96,0.98,0.97,0.98,1.0,0.97,0.94,0.96,0.94,0.95,0.97,0.96,0.98,0.99,0.98,0.97,0.97,0.96,0.96,0.97,0.97,0.94,0.95,0.91,0.96,0.99,0.98,1.0,0.97,0.97,0.95,0.96,0.96,0.99,0.97,0.98,0.97,0.97,0.94
961,0.74,0.79,0.82,0.75,0.78,0.78,0.71,0.77,0.78,0.83,0.77,0.8,0.76,0.83,0.81,0.83,0.79,0.72,0.84,0.75,0.82,0.77,0.82,0.82,0.76,0.72,0.77,0.82,0.71,0.83,0.79,0.82,0.82,0.77,0.79,0.83,0.75,0.81,0.78,0.76,0.78,0.76,0.74,0.79,0.82,0.74,0.78,0.73,0.79,0.87,0.81,0.79,0.75,0.78,0.76,0.81,0.78,0.8,0.81,0.74,0.73,0.77,0.8,0.81,0.79,0.77,0.81,0.82,0.8,0.82,0.76,0.76,0.81,0.82,0.81,0.82,0.75,0.84,0.78,0.78,0.78,0.81,0.79,0.82,0.73,0.8,0.76,0.76,0.78,0.81,0.78,0.83,0.84,0.78,0.83,0.79,0.83,0.81,0.75,0.67
121,0.84,0.88,0.87,0.8,0.81,0.85,0.8,0.83,0.9,0.85,0.85,0.86,0.84,0.85,0.84,0.82,0.88,0.85,0.85,0.81,0.85,0.84,0.87,0.89,0.76,0.8,0.83,0.88,0.86,0.86,0.88,0.8,0.83,0.83,0.88,0.82,0.88,0.87,0.8,0.84,0.79,0.86,0.87,0.84,0.89,0.86,0.85,0.86,0.84,0.86,0.83,0.9,0.84,0.86,0.86,0.83,0.87,0.81,0.86,0.81,0.82,0.82,0.86,0.77,0.85,0.82,0.87,0.84,0.87,0.89,0.85,0.84,0.84,0.82,0.87,0.85,0.85,0.81,0.84,0.88,0.77,0.9,0.83,0.85,0.82,0.84,0.86,0.9,0.87,0.92,0.79,0.84,0.85,0.81,0.82,0.86,0.77,0.84,0.8,0.83
941,0.8,0.83,0.83,0.74,0.74,0.83,0.81,0.79,0.84,0.82,0.87,0.78,0.83,0.79,0.87,0.8,0.84,0.86,0.79,0.79,0.82,0.86,0.82,0.82,0.83,0.82,0.75,0.76,0.85,0.81,0.83,0.78,0.86,0.8,0.83,0.83,0.73,0.75,0.76,0.8,0.83,0.85,0.79,0.71,0.79,0.81,0.76,0.82,0.79,0.81,0.81,0.85,0.79,0.81,0.78,0.78,0.83,0.86,0.84,0.79,0.8,0.85,0.75,0.83,0.77,0.82,0.85,0.85,0.84,0.8,0.81,0.84,0.79,0.74,0.81,0.79,0.8,0.84,0.78,0.77,0.84,0.79,0.81,0.75,0.79,0.75,0.84,0.75,0.81,0.85,0.81,0.84,0.86,0.84,0.87,0.8,0.81,0.78,0.8,0.85
203,0.96,0.93,1.0,0.96,0.98,0.99,0.98,0.97,0.99,0.99,0.98,1.0,0.96,0.99,0.96,0.98,1.0,0.99,0.98,0.99,0.99,0.94,0.95,0.98,1.0,0.96,0.99,0.95,0.96,0.99,0.98,1.0,0.96,0.98,0.99,0.97,0.96,0.98,0.98,0.94,0.95,0.98,0.96,0.97,0.98,0.97,0.99,0.98,0.97,0.99,0.94,0.98,0.99,0.99,0.95,0.98,0.98,1.0,0.98,0.95,0.99,1.0,0.95,0.97,0.95,0.97,0.97,0.95,0.97,0.95,0.96,0.98,0.97,0.99,0.97,0.97,0.96,0.98,0.99,0.97,0.98,0.98,0.98,0.98,0.99,0.98,0.94,0.98,0.99,0.99,0.97,0.97,0.98,0.95,0.97,0.96,1.0,1.0,0.98,0.98
