['overlapping.F1', 'overlapping.F1v', 'overlapping.F2', 'overlapping.F3', 'overlapping.F4', 'neighborhood.N1', 'neighborhood.N2', 'neighborhood.N3', 'neighborhood.N4', 'neighborhood.T1', 'neighborhood.LSCAvg', 'linearity.L1', 'linearity.L2', 'linearity.L3', 'dimensionality.T2', 'dimensionality.T3', 'dimensionality.T4', 'balance.C1', 'balance.C2', 'network.Density', 'network.ClsCoef', 'network.Hubs']
0,140.895341741229,4.24358447190498,0.100396464646465,0.85,0.904,0.016,0.0896184258013714,0.008,0.008,0.09,0.313184,3.92827772037965e-05,0.004,0.002,250.0,250.0,1.0,0.456186102569526,4.76143067846608,0.149130260521042,0.636884559806441,0.52442239538471
1,16.6089761860606,5.90626575119066,0.35320202020202,0.6,0.632,0.032,0.105693912584589,0.02,0.03,0.078,0.238812,0.0,0.0,0.018,250.0,250.0,1.0,0.725910106040793,2.10181394079258,0.146276553106212,0.65859042229635,0.457539210778302
2,45.3846432830398,4.93841276849763,0.202002525252525,0.75,0.8,0.02,0.0964561915829271,0.008,0.01,0.08,0.278976,0.0,0.0,0.00800000000000001,250.0,250.0,1.0,0.584238811642856,3.15282392026578,0.146869739478958,0.644876337771754,0.494264734598344
3,33.5076554154577,5.18197412614965,0.25159595959596,0.7,0.736,0.024,0.0989688433082912,0.014,0.024,0.082,0.26748,9.94789337385349e-06,0.002,0.014,250.0,250.0,1.0,0.624653823250712,2.79754526673958,0.14638877755511,0.647982336990935,0.484273626660221
4,21.5381778320599,5.61911972113721,0.30239898989899,0.65,0.692,0.032,0.103092107064016,0.012,0.01,0.08,0.249436,9.00798693765577e-05,0.002,0.014,250.0,250.0,1.0,0.688749805698856,2.33013640238704,0.146068136272545,0.654402941661041,0.467809670850122
5,72.5236165404643,4.61893366101829,0.151199494949495,0.8,0.856,0.02,0.0933476856913792,0.004,0.006,0.086,0.29376,3.37405521287533e-05,0.004,0.012,250.0,250.0,1.0,0.529360865287364,3.73484848484848,0.147663326653307,0.640923813527421,0.507091696889561
6,6.99757255747203,6.98883585885466,0.453598484848485,0.5,0.58,0.04,0.114198434383314,0.024,0.038,0.064,0.205732,7.02423165289003e-05,0.002,0.024,250.0,250.0,1.0,0.847146008145988,1.51352275240795,0.146677354709419,0.667813792377266,0.411420107711446
7,42.8698195308962,5.02957310969973,0.202002525252525,0.75,0.81,0.02,0.0978228812116009,0.012,0.018,0.082,0.272324,0.000104356237419141,0.002,0.01,250.0,250.0,1.0,0.604812590116588,2.96523283847228,0.146573146292585,0.646422614547322,0.489577111089202
8,89.1271919626024,4.47142433548605,0.151199494949495,0.8,0.832,0.02,0.0918316044081329,0.01,0.008,0.086,0.301712,0.000257668965996871,0.00800000000000001,0.004,250.0,250.0,1.0,0.499915958164528,4.10725229826353,0.148216432865731,0.639392366824461,0.513708627638335
9,140.895341741229,4.24358447190498,0.100396464646465,0.85,0.904,0.016,0.0896184258013714,0.008,0.014,0.09,0.313184,3.92827772037965e-05,0.004,0.018,250.0,250.0,1.0,0.456186102569526,4.76143067846608,0.149130260521042,0.636884559806441,0.52442239538471
